A17KPRZ4V4F45L,B000GQ1NK4,5,1380240000
A8UEUFFX882DQ,B0002WYUA2,3,1137888000
A22JQ98QWZEH4G,B008BT80SQ,4,1357776000
A3TP31S61PPE3G,B002SRPAAS,2,1294617600
A20IPZQ38M96RB,B003O6E1JS,5,1308268800
A12LH2100CKQO,B001D7798A,2,1353024000
AFNYEP9UND180,B0001UEHP8,5,1339027200
A2UBFAN2OWSES0,B004FSE52C,4,1377388800
A36W89J5398KDI,B0002VRP8M,4,1278374400
A21GTH20R33D6B,B00HD4R5YU,5,1398729600
A3QT9XXGQ80LYW,B002I0HKIU,4,1357603200
A3FFTHR0FQJMHP,B002BRZ9G0,5,1375574400
A1NJ2GWURL2ONB,B000B6MLSC,1,1147737600
A3CDLWJBMK3ETV,B00503E9UO,4,1353801600
A1INY6966R5RGJ,B002VBWIP6,5,1331078400
A3SUNKUBQHHZZN,B00012TIW8,5,1120348800
A2AOYPE2OK5TJH,B00A8306C6,5,1381449600
A3STRTF77Q6X2A,B007SRM5MO,5,1388102400
A20MBUOT9S7AEP,B002AB7TX8,5,1262217600
A5O4A980P84WN,B00006LELI,3,1117324800
AGM4ZMWL1GOBH,B002P35JMO,4,1357862400
A1JY2TBRK5PCSB,B0015AARJI,5,1208390400
A39YOBV3KK480S,B00004YUWA,5,1191628800
AZVCNOOQK36DH,B000FQBF1M,5,1236470400
A1MIS7I36V9EHG,B003H0CBT8,3,1301184000
A1PNCPV2M7DMMM,B00DBRM3G8,5,1393891200
A14GKTYL0UEC0U,B002I0K6X6,5,1364083200
AKNFM57ZPKKZ9,B001JKTC9A,5,1259452800
A17FPOCNMQAIO9,B002NN7AKU,4,1261008000
A1M0YQBGQYJ1ZS,B00005MDZ8,1,1193443200
AJKWF4W7QD4NS,B000O5FUQ0,2,1199232000
A349GJBO4MFF98,B003VUO6H4,1,1360886400
A13O1YCZCYT76I,B002BRZ9G0,5,1309392000
A1997C46112EKH,B00E1A1SP6,5,1381622400
A2P9XZ5R4FP7B4,B001G4VCII,5,1360627200
AWFDFLR1DA23A,B00004U3GC,4,986860800
A2C8F7FZ0JP7K,B001CWXAP2,4,1328400000
AJZCKAAXIYAZ1,B0001OK7VW,5,1229385600
A15OCIHXTP1OOM,B0002ZHDCG,5,1193443200
A28XK9YQ0NIKQ2,B00897Z27C,5,1360195200
A1DWGAROSTYH5M,B00BGA9WK2,5,1384905600
A3BTBIV6N9BZFR,B001E6DG6Y,5,1324684800
A33TTPCRVOBK3I,B000T22Q5Q,5,1202947200
AHOCBUMQ5Z60U,B00A3F5S0O,5,1358380800
A3JAH5WW61N2EK,B000WMEEAI,5,1365811200
A1CG84POMFEK2H,B003VUO6H4,4,1306368000
